Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Localidad;Provincia;Periodo
Monte, BUENOS AIRES;981;644;1,880,000;11.56;15.85;4.37;67;58;-103;-101;64;51;Monte;BUENOS AIRES;ene-24
Mitre, SANTIAGO DEL ESTERO;--;107;--;--;18.28;--;--;--;--;--;--;--;Mitre;SANTIAGO DEL ESTERO;ene-24
Ituzaingó, CORRIENTES;3,280,000;3,790,000;30,3;7.16;7.19;12.53;101;77;-102;-101;105;71;Ituzaingó;CORRIENTES;ene-24
General Lavalle, BUENOS AIRES;188;177;608;13.79;19.72;12.29;75;54;-102;-99;68;46;General Lavalle;BUENOS AIRES;ene-24
Valle Viejo, CATAMARCA;1,390,000;1,610,000;133;12.97;13.84;10.38;76;67;-101;-101;69;62;Valle Viejo;CATAMARCA;ene-24
Tordillo, BUENOS AIRES;134;231;289;14.65;16.44;9.64;64;55;-101;-99;57;47;Tordillo;BUENOS AIRES;ene-24
Totoral, CÓRDOBA;1,130,000;1,880,000;24,7;12.89;13.25;10.37;66;66;-102;-101;61;61;Totoral;CÓRDOBA;ene-24
Coronel Suárez, BUENOS AIRES;813;743;1,680,000;16.43;19.28;9.25;62;58;-101;-100;53;50;Coronel Suárez;BUENOS AIRES;ene-24
Chilecito, LA RIOJA;425;5,330,000;12,6;11.96;13.81;11.26;94;67;-99;-98;84;61;Chilecito;LA RIOJA;ene-24
Tupungato, MENDOZA;2,910,000;429;1,310,000;7.50;13.11;9.86;87;74;-103;-103;92;67;Tupungato;MENDOZA;ene-24
Suipacha, BUENOS AIRES;479;88,6;172;11.04;18.98;8.46;87;51;-102;-102;80;42;Suipacha;BUENOS AIRES;ene-24
Villa Gesell, BUENOS AIRES;4,210,000;4,230,000;8,090,000;13.28;14.18;7.64;65;62;-98;-98;58;56;Villa Gesell;BUENOS AIRES;ene-24
Avellaneda, RÍO NEGRO;4,810,000;442;690;10.20;16.52;10.53;78;69;-97;-97;71;60;Avellaneda;RÍO NEGRO;ene-24
Arrecifes, BUENOS AIRES;1,750,000;315;252;14.68;15.95;15.42;63;61;-101;-101;56;53;Arrecifes;BUENOS AIRES;ene-24
Moreno, SANTIAGO DEL ESTERO;183;5,280,000;8,79;13.86;8.25;10.76;79;79;-99;-96;70;70;Moreno;SANTIAGO DEL ESTERO;ene-24
General Alvear, CORRIENTES;192;1,060,000;5,11;13.13;7.93;11.73;73;73;-102;-81;66;65;General Alvear;CORRIENTES;ene-24
9 de Julio, RÍO NEGRO;10,1;--;273;1.39;--;--;865;94;-86;-86;809;102;9 de Julio;RÍO NEGRO;ene-24
General Donovan, CHACO;249;1,060,000;4,31;17.52;14.60;7.68;69;64;-96;-86;59;57;General Donovan;CHACO;ene-24
Fray Mamerto Esquiú, CATAMARCA;831;525;54;14.15;13.84;11.72;75;71;-103;-98;66;65;Fray Mamerto Esquiú;CATAMARCA;ene-24
San Antonio de Areco, BUENOS AIRES;747;445;1,000,000;12.21;13.27;8.46;68;61;-101;-101;63;55;San Antonio de Areco;BUENOS AIRES;ene-24
Bermejo, FORMOSA;198;1,740,000;3,89;13.49;10.30;5.40;76;76;-90;-90;67;67;Bermejo;FORMOSA;ene-24
Catán Lil, NEUQUÉN;--;--;19,4;--;--;0.85;--;--;--;--;--;--;Catán Lil;NEUQUÉN;ene-24
Chos Malal, NEUQUÉN;683;35,2;571;11.86;13.72;12.43;83;76;-101;-93;75;67;Chos Malal;NEUQUÉN;ene-24
Ullum, SAN JUAN;289;165;176;12.12;14.63;6.16;77;70;-105;-99;71;59;Ullum;SAN JUAN;ene-24
Lácar, NEUQUÉN;1,840,000;631;1,940,000;10.44;8.96;10.76;88;88;-101;-97;83;83;Lácar;NEUQUÉN;ene-24
Aluminé, NEUQUÉN;136;573;615;0.89;--;11.25;1,649;91;-97;-97;1,416;84;Aluminé;NEUQUÉN;ene-24
Oberá, MISIONES;1,080,000;5,360,000;142;11.87;12.64;14.13;89;73;-103;-103;81;64;Oberá;MISIONES;ene-24
General Guido, BUENOS AIRES;118;65,9;193;14.18;19.68;13.54;75;58;-101;-98;66;50;General Guido;BUENOS AIRES;ene-24
Tafí del Valle, TUCUMÁN;2,500,000;3,540,000;155;5.38;6.78;7.79;116;102;-101;-101;128;110;Tafí del Valle;TUCUMÁN;ene-24
Catriló, LA PAMPA;640;58;140;15.04;12.28;14.63;66;64;-100;-92;58;57;Catriló;LA PAMPA;ene-24
Lincoln, BUENOS AIRES;2,510,000;488;449;14.49;14.57;14.83;63;56;-101;-101;55;47;Lincoln;BUENOS AIRES;ene-24
Deseado, SANTA CRUZ;12,500,000;472;7,820,000;9.54;16.85;10.75;87;76;-100;-97;82;65;Deseado;SANTA CRUZ;ene-24
Bella Vista, CORRIENTES;1,020,000;3,770,000;13,3;10.79;4.34;10.43;81;78;-101;-100;75;70;Bella Vista;CORRIENTES;ene-24
Curacó, LA PAMPA;30,4;--;127;1.04;--;--;1,292;79;-94;-94;1,154;84;Curacó;LA PAMPA;ene-24
Saladas, CORRIENTES;596;2,090,000;13,6;11.43;7.36;15.50;77;66;-100;-100;69;59;Saladas;CORRIENTES;ene-24
Carmen de Areco, BUENOS AIRES;669;464;1,010,000;11.51;18.19;9.84;72;53;-98;-98;67;46;Carmen de Areco;BUENOS AIRES;ene-24
Gaiman, CHUBUT;1,180,000;32;182;11.03;12.06;13.79;80;73;-104;-101;74;66;Gaiman;CHUBUT;ene-24
Famatina, LA RIOJA;17,4;508;--;5.22;19.78;--;600;61;-105;-102;625;52;Famatina;LA RIOJA;ene-24
Villarino, BUENOS AIRES;2,010,000;614;1,760,000;13.79;18.94;13.71;63;62;-101;-99;56;53;Villarino;BUENOS AIRES;ene-24
Vicente López, BUENOS AIRES;4,910,000;6,100,000;7,050,000;15.75;19.88;15.03;50;48;-96;-96;43;41;Vicente López;BUENOS AIRES;ene-24
Magdalena, BUENOS AIRES;496;396;666;14.09;7.64;8.65;60;60;-100;-100;53;53;Magdalena;BUENOS AIRES;ene-24
San Martín, CORRIENTES;731;1,330,000;4,49;12.80;7.48;8.09;79;79;-100;-99;71;71;San Martín;CORRIENTES;ene-24
Necochea, BUENOS AIRES;5,120,000;2,040,000;4,070,000;10.96;13.07;8.72;76;72;-100;-99;71;66;Necochea;BUENOS AIRES;ene-24
Rosario, SANTA FE;34,600,000;40,800,000;21,300,000;13.16;13.86;13.62;62;57;-100;-100;56;51;Rosario;SANTA FE;ene-24
Paraná, ENTRE RÍOS;5,700,000;16,700,000;2,480,000;12.41;12;12.99;71;65;-102;-101;65;60;Paraná;ENTRE RÍOS;ene-24
Feliciano, ENTRE RÍOS;427;302;6,74;11.30;16.79;18.94;85;50;-103;-91;79;44;Feliciano;ENTRE RÍOS;ene-24
Bragado, BUENOS AIRES;1,970,000;225;380;10.19;18.77;13.56;84;53;-99;-99;77;44;Bragado;BUENOS AIRES;ene-24
Esteban Echeverría, BUENOS AIRES;7,210,000;9,260,000;12,100,000;16.72;17.43;10.24;52;52;-100;-100;44;44;Esteban Echeverría;BUENOS AIRES;ene-24
Telsen, CHUBUT;66,9;--;--;0.96;--;--;1,251;1,251;-95;-95;1,14;1,14;Telsen;CHUBUT;ene-24
Guachipas, SALTA;33;577;782;14.23;8.87;10.73;77;68;-87;-87;68;56;Guachipas;SALTA;ene-24
Ojo de Agua, SANTIAGO DEL ESTERO;11,4;2,170,000;5,75;4.65;5.10;2.63;155;104;-91;-91;144;109;Ojo de Agua;SANTIAGO DEL ESTERO;ene-24
General Paz, BUENOS AIRES;896;125;220;10.72;15.55;10.09;60;52;-99;-96;58;44;General Paz;BUENOS AIRES;ene-24
Santa Victoria, SALTA;58,5;44,3;--;1.21;0.36;--;1,233;1,233;-105;-103;1,142;895;Santa Victoria;SALTA;ene-24
Independencia, CHACO;276;1,510,000;5,48;14.19;10.17;13.37;72;71;-103;-96;64;64;Independencia;CHACO;ene-24
Rancul, LA PAMPA;527;31,6;234;17.22;15.83;9.61;60;60;-98;-95;52;52;Rancul;LA PAMPA;ene-24
Rivadavia, SAN JUAN;2,010,000;1,590,000;3,070,000;15.43;18.37;11.30;67;64;-100;-98;59;56;Rivadavia;SAN JUAN;ene-24
Rauch, BUENOS AIRES;1,030,000;105;352;9.76;20.90;10.53;106;60;-99;-98;99;50;Rauch;BUENOS AIRES;ene-24
Maipú, BUENOS AIRES;706;255;402;13.11;21.15;11.30;70;54;-101;-97;63;47;Maipú;BUENOS AIRES;ene-24
San Javier, MISIONES;25,9;1,290,000;10,1;10.78;9.36;1.23;89;84;-99;-95;81;80;San Javier;MISIONES;ene-24
Carlos Casares, BUENOS AIRES;928;272;382;12.45;13.56;7.86;66;66;-104;-104;61;59;Carlos Casares;BUENOS AIRES;ene-24
Pocito, SAN JUAN;1,660,000;1,460,000;3,200,000;13.48;14.97;9.36;72;67;-103;-100;65;61;Pocito;SAN JUAN;ene-24
Pilcaniyeu, RÍO NEGRO;188;101;399;10.38;13.25;8.45;96;76;-96;-96;82;69;Pilcaniyeu;RÍO NEGRO;ene-24
Valcheta, RÍO NEGRO;63,2;2,19;202;1.38;9.70;11.65;1,059;77;-96;-91;1,014;70;Valcheta;RÍO NEGRO;ene-24
Lago Buenos Aires, SANTA CRUZ;1,320,000;6,21;316;11.72;10.12;12.32;87;82;-99;-90;78;73;Lago Buenos Aires;SANTA CRUZ;ene-24
Juárez Celman, CÓRDOBA;3,860,000;1,680,000;61,8;14.63;19.10;12.05;67;60;-99;-99;59;52;Juárez Celman;CÓRDOBA;ene-24
General Alvarado, BUENOS AIRES;3,890,000;1,790,000;3,570,000;8.59;9.91;7.43;76;76;-101;-100;76;76;General Alvarado;BUENOS AIRES;ene-24
Rinconada, JUJUY;--;65,3;--;--;12.18;--;--;--;--;--;--;--;Rinconada;JUJUY;ene-24
Jáchal, SAN JUAN;265;73,5;1,410,000;15.64;12.59;10.31;68;68;-99;-96;58;58;Jáchal;SAN JUAN;ene-24
Adolfo Alsina, RÍO NEGRO;1,590,000;831;5,620,000;14.55;11.41;12.01;64;64;-98;-98;57;55;Adolfo Alsina;RÍO NEGRO;ene-24
General Lamadrid, BUENOS AIRES;524;3,28;127;12.61;12.27;13.44;73;71;-101;-95;65;62;General Lamadrid;BUENOS AIRES;ene-24
Berón de Astrada, CORRIENTES;302;163;859;12.75;14.62;5.58;75;69;-102;-100;68;63;Berón de Astrada;CORRIENTES;ene-24
Santa Rosa, MENDOZA;856;460;20,1;11.23;15.55;8.06;85;73;-106;-104;79;64;Santa Rosa;MENDOZA;ene-24
Chacabuco, CHACO;238;2,720,000;1,77;15.78;10.91;13.59;73;71;-101;-99;64;64;Chacabuco;CHACO;ene-24
Angaco, SAN JUAN;265;108;29,4;15.65;15.15;10.62;68;68;-99;-99;60;60;Angaco;SAN JUAN;ene-24
Santa María, CÓRDOBA;10,400,000;10,600,000;1,520,000;10.12;13.87;8.46;73;62;-102;-98;70;59;Santa María;CÓRDOBA;ene-24
Salavina, SANTIAGO DEL ESTERO;1,22;816;--;6.63;16.48;--;104;63;-116;-94;116;56;Salavina;SANTIAGO DEL ESTERO;ene-24
Patagones, BUENOS AIRES;1,680,000;357;1,980,000;14.77;16.09;12.53;65;61;-100;-99;57;52;Patagones;BUENOS AIRES;ene-24
Pocho, CÓRDOBA;56,7;590;--;15.60;16.72;--;58;58;-98;-98;51;51;Pocho;CÓRDOBA;ene-24
Ayacucho, BUENOS AIRES;1,010,000;209;371;11.27;15.83;11.22;78;65;-102;-99;72;58;Ayacucho;BUENOS AIRES;ene-24
General Belgrano, CHACO;92,1;743;2,65;12.97;12.14;11.72;75;66;-102;-99;67;62;General Belgrano;CHACO;ene-24
Silípica, SANTIAGO DEL ESTERO;92,5;569;1,85;11.48;14.22;17.37;67;58;-103;-90;61;56;Silípica;SANTIAGO DEL ESTERO;ene-24
General San Martín, BUENOS AIRES;9,760,000;13,900,000;14,300,000;14.94;15.84;11.23;53;53;-100;-98;46;46;General San Martín;BUENOS AIRES;ene-24
Guaminí, BUENOS AIRES;531;118;469;17.30;16.28;14.28;61;61;-101;-97;51;51;Guaminí;BUENOS AIRES;ene-24
Maracó, LA PAMPA;2,280,000;196;1,920,000;14.84;17.43;13.11;62;60;-100;-100;54;52;Maracó;LA PAMPA;ene-24
Tilcara, JUJUY;337;2,930,000;9,97;3.09;7.86;3.52;116;98;-103;-100;154;104;Tilcara;JUJUY;ene-24
Rosario Vera Peñaloza, LA RIOJA;86,3;971;--;1.72;20.45;--;823;60;-94;-94;804;51;Rosario Vera Peñaloza;LA RIOJA;ene-24
Conesa, RÍO NEGRO;171;43,3;688;15.12;18.32;11.71;61;61;-95;-90;53;53;Conesa;RÍO NEGRO;ene-24
Andalgalá, CATAMARCA;337;3,640,000;1,95;16.46;11.85;3.44;73;73;-101;-99;61;61;Andalgalá;CATAMARCA;ene-24
Tafí Viejo, TUCUMÁN;7,030,000;13,200,000;2,030,000;12.35;15.22;8.32;72;61;-100;-100;66;58;Tafí Viejo;TUCUMÁN;ene-24
Rosario de la Frontera, SALTA;700;3,950,000;54,4;9.12;9.99;11.86;85;81;-103;-102;83;82;Rosario de la Frontera;SALTA;ene-24
Los Lagos, NEUQUÉN;981;202;2,070,000;6.88;8.55;8.70;105;105;-102;-97;112;107;Los Lagos;NEUQUÉN;ene-24
Choya, SANTIAGO DEL ESTERO;2,850,000;2,960,000;312;10.52;14.22;9.18;71;68;-97;-97;68;65;Choya;SANTIAGO DEL ESTERO;ene-24
La Poma, SALTA;61,3;14,2;--;1.10;0.96;--;1,252;1,252;-91;-90;1,122;1,003;La Poma;SALTA;ene-24
La Candelaria, SALTA;123;1,920,000;256;10.89;9.48;--;79;79;-100;-96;71;71;La Candelaria;SALTA;ene-24
Corpen Aike, SANTA CRUZ;737;105;1,030,000;10.94;11.81;9.54;91;91;-104;-93;82;82;Corpen Aike;SANTA CRUZ;ene-24
Punta Indio, BUENOS AIRES;382;135;11,4;17.18;22.62;14.21;53;49;-102;-97;45;41;Punta Indio;BUENOS AIRES;ene-24
General José de San Martín, SALTA;5,820,000;17,000,000;514;9.66;12.24;9.18;107;78;-100;-100;100;76;General José de San Martín;SALTA;ene-24
Paclín, CATAMARCA;156;390;128;9.61;18.03;--;129;62;-104;-96;126;54;Paclín;CATAMARCA;ene-24
Laprida, BUENOS AIRES;366;7,21;617;10.17;9.22;10.30;80;74;-102;-99;75;67;Laprida;BUENOS AIRES;ene-24
Coronel Dorrego, BUENOS AIRES;415;306;1,260,000;17.25;20.09;10.62;63;59;-102;-100;53;50;Coronel Dorrego;BUENOS AIRES;ene-24
San Ignacio, MISIONES;1,190,000;3,530,000;59,3;14.93;11.34;14.73;72;71;-100;-100;63;61;San Ignacio;MISIONES;ene-24
